OBJECTID,ZONE_DIST,PD_NUM,CD_NUM,CASE_NUMBER,COUNCIL_DATE,COMMON_NAME,LONG_ZONE_DIST,GLOBALID,ORD_NUM,NOTES,RES_NUM,EFFECTIVEDATE,DISTRICTUSE,Shape__Area,Shape__Length
15,MU-1, ,,Transition,1989/07/18 05:00:00+00,,MU-1,76173291-e5a3-4c66-b59d-32fa00d62876,19455,Zoning Tranistion to Chapter 51A_MU-1 district reduced per ORD 29241,870470,2014/01/08 06:00:00+00,,756243.711914062,5194.37913759085
16,PD,1084,,Z212-147,2022/06/08 05:00:00+00,Bluff Hollow Court,PD-1084,26ca42f5-af06-410c-8a8c-2f270f2c5a60,32229,ORDS_32229_R-10(A) to PD 1084 permitted R-10(A) uses ,220889,2022/06/08 05:00:00+00,1,177403.6796875,1694.94443515063
17,R-1/2ac(A), ,,,,,R-1/2ac(A),aca2e130-519f-4de2-89af-d159302ee19d,,,,2012/08/24 05:00:00+00,,334161.622070312,4258.6777426757
18,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,e8a51903-8d2f-46f8-9d63-f98b6bd50839,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,421800.3046875,3164.62875740954
19,MH(A), ,,,,,MH(A),37c1e572-9fca-4b6f-978c-44a0c5741c03,,,,2012/08/24 05:00:00+00,,309642.416015625,2304.60572455155
20,D(A), ,,Transition,1989/07/18 05:00:00+00,,D(A),bdf959f5-4ea4-4efd-b8a9-008bfb34f025,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,8680.611328125,461.199566895861
21,PD,645,,Z023-201/11912,2003/06/11 05:00:00+00,DISD_Winnetka Elementary School,PD-645,b4bc6730-74b5-4e3f-b6da-18dee9175bcf,25281,,031701,2012/08/24 05:00:00+00,,249610.408203125,2143.18372205716
22,MF-2(A), ,,,,,MF-2(A),5a37f858-6ba3-437a-9d00-bf5ff4b9cd43,,,,2012/08/24 05:00:00+00,,22501.6181640625,624.524885760785
23,PD,225,,Z123-130/(MW),2013/02/27 06:00:00+00,State Thomas Special Purpose District,PD-225,fc8c5bf3-ddb9-4c62-a910-32f530834403,28935,Cemetery/Park land in not in PD 225 or PD 193_include Clyde-Woodside-Duff-Calvary-Hall,130452,2013/02/27 06:00:00+00,2,4908990.98535156,14381.6744979376
24,PD,714,,Z234-205,2024/09/11 05:00:00+00,Fort Worth Avenue/West Commerce Street Special Purpose District,PD-714,d540e829-b8b1-4772-bd55-101f7ad62ee6,32854,"ORDS_25898, 26876, 27056, 27820, 28470, 28505, 29654, 29914, 30491, 30609, 30705, 31570, 32073, 32104, 32175, 32378-CORR, 32411, 32854_PD Amendments to Article 714",241328,2024/09/11 05:00:00+00,2,17858172.1757812,48228.5306501242
25,R-7.5(A), ,,Transition,1989/07/18 05:00:00+00,,R-7.5(A),dc00e8e0-fa7f-4bb8-b871-d580a96c5d00,19455,Zoning Transition to Chapter 51A      ,870470,2012/08/24 05:00:00+00,,323725.00390625,3658.91938816425
26,MF-1(A), ,,Transition,1989/07/18 05:00:00+00,,MF-1(A),d64427c2-aeac-4726-a83d-310c3efeaf00,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,8459608.42628431,21483.0805541696
27,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,359036b8-a8c1-485b-88cc-6d80f3144939,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,57031.630859375,1623.21067509225
28,PD,344,,Z123-370,2014/01/22 06:00:00+00,Scotties Family Golf Center_Top Golf Dallas Park Lane,PD-344,d91f6a85-2350-47db-a732-968ab4fdb092,29258,"ORDS_20841, 20925, 22044, 24810, 25850-COD, 26144, 26507, 27065, 28908, 29258",140235,2014/01/22 06:00:00+00,2,1314475.87304688,5961.29607155914
29,R-13(A), ,,,,,R-13(A),3a3d7ff5-82f9-4811-8230-037b835c50bd,,,,2012/08/24 05:00:00+00,,6378151.17382812,16806.089764334
30,R-7.5(A), ,,,,,R-7.5(A),1f936414-0b49-4e6b-ab11-c7f3d9093041,,,,2012/08/24 05:00:00+00,,28051.3740234375,894.501086769365
31,TH-2(A), ,,,,,TH-2(A),cc500904-8ee7-49a4-9dbf-e5c28bf15e93,,,,2012/08/24 05:00:00+00,,91816.7353515625,1247.18262956996
32,RR, ,,,,,RR,e8eec995-b793-404b-bfa3-84100b2c0574,,,,2012/08/24 05:00:00+00,,124970.712890625,1407.56564746045
33,R-1/2ac(A), ,,Transition,1989/07/18 05:00:00+00,,R-1/2ac(A),9d5ce9c4-959d-4aa3-9814-ceecd251191f,19455,Zoning Transition to Chapter 51A ,870470,2012/08/24 05:00:00+00,,2327845.43359375,10891.4919815194
34,MU-2, ,,Transition,1989/07/18 05:00:00+00,,MU-2,0da9d2ba-db35-4dda-ae83-591e7118dff2,19455,Zoning Transition to Chapter 51A_MU-2(-)/split for PD 1112 per ORD 32772,870470,2024/06/26 05:00:00+00,,3083076.85045242,7574.21811561164
35,MF-1(A), ,,,,,MF-1(A),f6df6cba-18eb-4af7-be1d-442e940c2fbb,,,,2012/08/24 05:00:00+00,,490558.880859375,2909.19377423201
36,PD,901,,Z123-335,2014/01/22 06:00:00+00,,PD-901,3eb70f68-e8cd-44b3-b3be-55a3706915c2,29252,CR and D(A) to PD 901 with  3 Subdistricts,140224,2014/01/22 06:00:00+00,1,77472.0537109375,1435.30127180324
37,D(A), ,,Z189-230,2019/08/14 05:00:00+00,,D(A),2f562a21-fdbb-4fd5-a3af-bfdecff36dd5,31278,CR to D(A),191149,2019/08/14 05:00:00+00,,51390.2626953125,907.205613920659
38,LO-1, ,,,,,LO-1,2eaa070d-8e04-4eb2-bcae-abb6401526f3,,,,2012/08/24 05:00:00+00,,69314.107421875,1235.20340659014
39,NO(A), ,,Z078-166,2008/05/14 05:00:00+00,,NO(A),094273e3-9831-43ef-95d7-2ad457636c77,27177,BLK 8/800 Lot 5,081442,2012/08/24 05:00:00+00,,25537.1337890625,710.904419806943
40,NS(A), ,,,,,NS(A),d56e1ca0-851b-45ed-8c1b-e424e68c5a92,,,,2012/08/24 05:00:00+00,,211490.849609375,2029.18656558254
41,LI, ,,,,,LI,2bd60473-6297-4bdb-8585-65befd76e0f4,,,,2012/08/24 05:00:00+00,,2220896.16601562,6325.72540203786
42,CS,,,Z012-279/11757-NW,2003/06/25 05:00:00+00,,CS,42783568-cd47-4b9d-b0fe-0f237f69e8c3,25318,,,2012/08/24 05:00:00+00,,37366.2138671875,798.743599121001
43,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,d7a07b26-67be-4be7-99ea-f9a536f792f5,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,24779.1220703125,641.900830945301
44,PD,739,,Z045-310,2006/01/11 06:00:00+00,Town North YMCA,PD-739,931bb611-925b-4675-bbb3-9b53dfd0a80f,26210,Contains 2 Tracts,060149,2012/08/24 05:00:00+00,1,414511.37890625,2793.60294845259
45,CR, ,,Z145-227,2015/09/26 05:00:00+00,,CR,670a4dda-d34c-4714-b733-9c5d365ff4a1,29891,R-7.5(A) reduced to CR with Deed Restrictions,151809,2015/09/22 05:00:00+00,,16182.7421875,521.602507884359
46,CS, ,,Transition,1989/07/18 05:00:00+00,,CS,0e65be37-1512-4e51-b3f1-499c9476ecb7,19455,Zoning Transition to Chapter 51A_CS reduced to PD 922 per ORD 29449,870470,2014/09/10 05:00:00+00,,391338.830078125,3224.50256952471
47,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,cd3a70b7-c35d-4398-b75f-2648e0a322bd,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,268817.817382812,2759.96951470962
48,PD,552,,,,,PD-552,53ceaee1-8bce-47fb-bdc3-d7a8f84cdab9,,,,2012/08/24 05:00:00+00,,962949.740234375,4245.26087278783
49,D(A), ,,Transition,1989/07/18 05:00:00+00,,D(A),72da94ec-f45c-4b15-bca4-efd2e9d24c2a,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,326057.711914062,3826.06239231899
50,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,d66f5a69-15fe-4b1c-8528-2c359b33fc35,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,1105304.97070312,4806.10864390987
51,PD,1060,,Z190-349,2021/09/09 05:00:00+00,"Forest Park Devlopment, LLC",PD-1060,2e047a89-e007-4b8a-88f6-dadc83409743,31993,ORDS_31993_R-16(A) to PD 1060 and ORD 31991 to PD 1066,211491,2021/09/09 05:00:00+00,1,229551.950349212,2205.33201376074
52,MF-2(A), ,,,,,MF-2(A),038e30d6-c4d6-4baf-b217-49845285a99f,,,,2012/08/24 05:00:00+00,,493192.51171875,2837.50210858286
53,PD,686,,Z034-211/12147,2004/06/09 05:00:00+00,,PD-686,8ac29d0a-18ce-4645-b81e-d9dde3cadd06,25624,,041845,2012/08/24 05:00:00+00,,366057.814453125,2685.61146904251
54,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,1ea564a9-d912-4c76-bab9-fb34a30df1fb,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,195923.51171875,2075.69418999216
55,NO(A), ,,Z67-266/2954-N,,,NO(A),bf218eb7-43d8-421f-aad7-5160b97cfbc0,,,,2012/08/24 05:00:00+00,,60062.74609375,1405.23199988926
56,TH-3(A), ,,Z045-198,2005/08/10 05:00:00+00,,TH-3(A),881f8077-81f6-4d7a-87a3-47d0b2e320b4,26053,R-7.5(A) to TH-3(A)+Deed Res,052195,2012/08/24 05:00:00+00,,439698.701171875,4171.4439344151
57,PD,1077,,Z201-279,2022/01/12 06:00:00+00,,PD-1077,848d1495-1cf5-41f4-b74e-1b59d1f65767,32110,ORDS_32110_R-10(A) to PD 1077 with Tracts 1 & 2,220187,2022/01/12 06:00:00+00,1,96117.287109375,1405.89857874509
58,IR, ,,Transition,1989/07/18 05:00:00+00,,IR,cc13bcb3-2653-4d51-bcd8-fe6e9e23b98f,19455,Zoning Transition to Chapter 51A_IR reduced/3-way split to PD 1049 per ORD 31831,870470,2021/04/14 05:00:00+00,,6414.8935546875,351.670625953089
59,RR, ,,,,,RR,1ef0dad5-8530-436f-8332-743ec9b8baf0,,,,2012/08/24 05:00:00+00,,33255.873046875,729.837999645311
60,D(A), ,,Transition,1989/07/18 05:00:00+00,,D(A),2e5abaf0-21b5-439f-823c-71dfd8f88d27,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,78648.9384765625,1174.95675728491
61,PD,677,,Z034-135/12066,2004/03/24 06:00:00+00,,PD-677,88077556-cc21-4d8b-b9de-568066c62e47,25533,DISD_Ronald E NcNair Elementary School,,2012/08/24 05:00:00+00,,505484.895507812,2949.22999121903
62,PD,478,,,,,PD-478,08109fff-4691-4957-99c0-8dd835859dc6,,,,2012/08/24 05:00:00+00,,18916773.8847656,23339.0048351193
63,PD,864,,Z101-342,2012/03/28 05:00:00+00,DISD_Oren M Roberts Elementary School,PD-864,b33ea7d4-ecc0-4dbb-8f2c-37d973649240,28585,ORDS_28585_Legal in 3 tracts_CS and D(A) to PD 864 (no Subareas),120943,2012/08/24 05:00:00+00,0,321691.267578125,3086.02725609206
64,NO(A), ,,,,,NO(A),34244786-06ba-455c-9caf-2c9025d6b4a9,,,,2012/08/24 05:00:00+00,,90816.1748046875,1403.97873402605
65,PD,281,,Z145-308,2016/01/13 06:00:00+00,Lakewood Center Special Purpose District,PD-281,58664f9c-2a31-4e77-bd70-7bc96e149e01,29974,"ORDS_20062, 23498, 25710-COD, 26341-COD CORR, 26523, 29974_PD 281 amend_new SD E-E-1",160114,2016/01/13 06:00:00+00,2,1919562.04882812,8425.84537619901
66,MF-1(A), ,,Transition,1989/07/18 05:00:00+00,,MF-1(A),89eb45e4-979d-400f-8527-688b93c265d7,19455,Zoning Transition to Chapter 51A_PD 546 back zoned to MF-1(A) expanded under Z212-274,870470,2022/12/14 06:00:00+00,,11198597.0722656,19582.5042502088
67,PD,658,,Z034-196,2004/10/27 05:00:00+00,Village of Ruyon Springs,PD-658,57661e95-a98b-4598-89a7-84c07032e839,25791,Z023-240/11944_25320_6/25/2003,043079,2012/08/24 05:00:00+00,,3659955.49609375,16200.106386547
68,D(A),,,Transition,1989/07/18 05:00:00+00,,D(A),305bb7f0-e7a1-4307-9682-dc643dde0215,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,262934.330078125,3226.02765084542
69,PD,880,,Z189-210,2019/08/14 05:00:00+00,King of Glory Lutheran Church,PD-880,507bb4e6-864d-4e98-bd51-76afb9fe237e,31276,"ORDS_28943, 31276_PD 880 Amend",191147,2019/08/14 05:00:00+00,1,404602.494140625,2799.14051575768
70,D(A), ,,Transition,1989/07/18 05:00:00+00,,D(A),31f38390-a31a-4bc7-8bd7-63025c0807a8,19455,Zoning Transition to Chapter 51A_D(A) reduced to PD 830 SD 6 per ORD 27944,870470,2012/08/24 05:00:00+00,,583689.377929688,4095.51038192594
71,CS, ,,Z056-168,2006/04/26 05:00:00+00,,CS,a22fcc11-ddcc-44e5-8687-b204f8814b63,26324,Exhibit A_Tract 1_BLK 5716 part Lot 1-D,061237,2012/08/24 05:00:00+00,,25400.2392578125,720.363868535303
72,PD,807,,Z089-165,2009/05/27 05:00:00+00,Prairie Creek Branch Library,PD-807,38648e89-f825-4012-9bfa-4ac1f181937d,27547,CR-D and R-7.5(A) to PD 800 retain D overlay,091355,2012/08/24 05:00:00+00,0,201615.482421875,1810.1983879412
73,CS, ,,Transition,1989/07/18 05:00:00+00,,CS,176377fb-920f-43e5-aa86-db48a273c7ad,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,687391.803710938,3784.41307283701
74,PD,652,,Z190-293,2020/10/28 05:00:00+00,DISD_Dan D Rogers Elementary School,PD-652,f07bb6ca-9dd8-457d-a470-63047c1225d5,31681,"ORDS_25315, 31681_PD 652 Amend and new PropDesc Exhibit A",201741,2020/10/28 05:00:00+00,1,520287.98828125,2864.64824911089
75,PD,255,,,,,PD-255,62dc8b02-15c2-4cae-8b9f-1033ecc6bcc4,,,,2012/08/24 05:00:00+00,,330452.232421875,3154.18122717092
76,PD,199,,,,,PD-199,0c66e2a9-1639-4c59-99ba-6c376ff399fa,,line adjustments,,2012/08/24 05:00:00+00,,254132.357421875,2113.70226086392
77,R-1ac(A), ,,,,,R-1ac(A),4780ba7d-1bc8-40c4-bcad-055b52d9f22e,,,,2012/08/24 05:00:00+00,,80652.5361328125,1146.63265116447
78,R-10(A), ,,Transition,1989/07/18 05:00:00+00,,R-10(A),d81f54cb-2bc9-4d1e-87c7-e0793e534415,19455,Zoning Transition to Chapter 51A_R-10(A) district reduced for new PD 1084 under Z212-147,870470,2022/06/08 05:00:00+00,,257289.206054688,2066.549741559
79,TH-1(A), ,,,,,TH-1(A),5e470b31-5c6d-44be-81d9-a287643ba1d9,,,,2012/08/24 05:00:00+00,,1621634.37207031,7155.1567539163
80,PD,936,,Z201-173,2021/06/23 05:00:00+00,Bonton Urban Farm District,PD-936,de2948ce-d4c8-4621-b9d3-0e101f92c8a2,31926,"ORDS_29664, 29335, 31101, 31926_PD 595_ portion of R-5(A) reduced to PD 936(+) new SD 2_PD now has Subdistricts 1, 2, 3 per PropDesc",21163,2021/06/23 05:00:00+00,2,78472.8955078125,1197.6495063526
81,PD,166,,Z178-146,2018/06/27 05:00:00+00,Nexus Recovery Center,PD-166,9c91937e-b5bc-498c-8eb1-82cdc42da542,30923,"ORDS_10962, 18065, 19390, 20512, 25508-COD, 27794, 30923_PD 166 Amend_revised PropDesc-EXHIBIT A",180973,2012/08/24 05:00:00+00,1,592385.009765625,3583.81794047335
82,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,704802bd-b3cc-4406-ac13-35943353933e,19455,Zoning Transition to Chapter 51A_CR reduced to PD 1064 under Z201-139,870470,2021/06/23 05:00:00+00,,2173595.84375,12297.7354267222
83,PD,933,,Z134-282,2014/12/10 06:00:00+00,,PD-933,434ef538-e781-4d27-99eb-9c9dcb71a7db,29586,IR to PD 933_Subareas A-B-C-D-E_see PD_Subdistrict layer for Boundaries and Uses,142170,2014/12/10 06:00:00+00,2,1185224.79492188,4626.56725489044
84,MF-1(A), ,,,,,MF-1(A),9408ae60-b74b-4acb-bde3-dd7a7620a15c,,,,2012/08/24 05:00:00+00,,360634.689453125,2722.85021263584
85,PD,42,,,,,PD-42,e2b5973d-91e6-4258-81e9-69c30640c48e,,,,2012/08/24 05:00:00+00,,1224192.0859375,4808.90407238091
86,R-7.5(A), ,,Z201-237,2021/08/11 05:00:00+00,,R-7.5(A),651d4788-1d84-4ddc-b61a-f97925262975,31959,CR to R-7.5(A) ,211304,2021/08/11 05:00:00+00,,9280.2509765625,466.876423321113
87,WR-5,,,Z145-340,2016/01/13 06:00:00+00,,WR-5,3114d998-9842-4001-b029-a36bd665be4a,29982,"ORDS_29892, 29982_PD 466 and MF-2(A) to WR-5 with new HM-4",160120,2016/01/13 06:00:00+00,,183459.671697855,1760.8488537411
88,R-10(A), ,,,,,R-10(A),c825d519-f3f8-4c59-867c-fd99bf7a8d3c,,,,2012/08/24 05:00:00+00,,68989.8720703125,1130.29836777297
89,PD,73,,,,,PD-73,45bcf4d0-63b3-47e8-bea5-22e0d2f61768,,line adjustments,,2012/08/24 05:00:00+00,,901580.984375,4137.01324226226
90,LO-3, ,,,,,LO-3,e101be8b-6404-499a-bed3-c7432ec870ae,,,,2012/08/24 05:00:00+00,,36335.9375,885.492154280914
91,MF-1(A), ,,Transition,1989/07/18 05:00:00+00,,MF-1(A),b89b43c3-a477-4678-bc64-2b772e820da7,19455,Zoning Transition to Chapter 51A_MF-1(A) reduced to IR per ORD 30082,870470,2016/05/11 05:00:00+00,,985169.115234375,6491.46219116645
92,R-13(A), ,,Transition,1989/07/18 05:00:00+00,,R-13(A),af1faf47-34b5-4de2-8ecc-94e66872c3ed,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,4226949.125,16353.134550673
93,LO-1, ,,Transition,1989/07/18 05:00:00+00,,LO-1,f376cab8-2142-4f68-bc2c-1573de1eb2bc,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,22000.5888671875,628.850567586523
94,CS, ,,Transition,1989/07/18 05:00:00+00,,CS,5f36c29c-2af5-465a-8151-32d92a547bb3,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,299284.671875,2360.13868094183
95,LI, ,,,,,LI,7983ff47-0dd2-492d-993c-a8d3a9d72a44,,,,2012/08/24 05:00:00+00,,3271029.75494289,10809.8788253949
96,NS(A), ,,,,,NS(A),8882baf8-2383-4815-997c-c4d787db50de,,,,2012/08/24 05:00:00+00,,47625.873046875,913.802817384863
97,PD,464,,DCA045-002,2005/06/22 05:00:00+00,Charlton Methodist Hospital,PD-464,faf83f4b-3f19-4102-9d60-4ca7b361134f,26042,"ORDS_22988, 23729, 26042-COD_PD 464 Codification to Chapter 51P_Article 464",051968,2005/06/22 05:00:00+00,0,2232818.80664062,6041.5378353157
98,TH-1(A), ,,,,,TH-1(A),4edbf601-19a7-464e-8030-8f2b04d83505,,,,2012/08/24 05:00:00+00,,2837006.80078125,7863.6598638787
99,PD,811,,Z112-117,2012/05/09 05:00:00+00,The Canyon in Oak Cliff,PD-811,2a50f058-3842-45b5-badc-80c185dee654,28651,"ORDS_27654, 28651_R-7.5(A), IR, RR to PD 811 expansion + all Subareas reconfigured_A-B-C-D-E_excludes DART/RR ROW",121290,2012/08/24 05:00:00+00,0,9381344.19140625,20364.3537390209
100,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,acefe5c8-ed77-48c0-aa60-55ff5d581e85,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,99810.943359375,1384.50389979591
101,R-7.5(A), ,,Transition,1989/07/18 05:00:00+00,,R-7.5(A),fef18df5-ffd9-4e68-8e80-f9b9af5734a0,19455,Zoning Transition to Chapter 51A_R-7.5(A) reduced/split to CD 21 per ORD 32711_CC-4/24/2024,870470,2024/04/24 05:00:00+00,,72264.798828125,1134.4759215461
102,PD,444,,Z189-347,2020/02/26 06:00:00+00,1980 California Crossing,PD-444,ee692348-0a9a-45cd-8b5b-99302610cbfe,31460,"ORDS_22853, 26042-COD, 31460_PD 444 Amend new Conceptual Plan",200384,2020/02/26 06:00:00+00,0,516559.194335938,4197.5607570104
103,PD,1028,,Z201-288,2021/12/08 06:00:00+00,West Love Retail,PD-1028,aa71c9b1-54a8-409f-a394-a6835f518631,32075,"ORDS_31436, 32075_PD 1028 Amendments",212029,2021/12/08 06:00:00+00,0,158702.310546875,1788.71410932826
104,MU-2, ,,,,,MU-2,1c006d0d-f8e3-4dc8-8c5f-3718cc689d1b,,,,2012/08/24 05:00:00+00,,2021495.50292969,9069.93576867962
105,PD,366,,Z156-183,2017/08/09 05:00:00+00,Buckner Boulevard Special Purpose District,PD-366,8aa60b2e-3de6-4db1-b469-1a6303edb7d2,30587,"ORDS_21211, 21323, 24159, 25164-COD, 27034, 27322-CORR, 27788, 27902, 28199, 28520, 28547, 28775, 29933, 30249, 30587_PD 366 Amend_SA reconfigured to SA1_new SA 2A",171221,2017/08/09 05:00:00+00,2,17531814.2705078,69004.8860483559
106,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,7834b898-0ebb-45c6-b933-1d54ccc2fe84,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,174534.700195312,1671.53091562533
107,MU-2, ,,,,,MU-2,72780e08-b1db-4e1b-92ae-19ba3a3b4313,,,,2012/08/24 05:00:00+00,,48462.2314453125,1242.93400847891
108,TH-3(A), ,,Transition,1989/07/18 05:00:00+00,,TH-3(A),2568d423-c163-4ffc-9a3d-c0656aa0d507,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,493317.658203125,2819.29198691927
109,R-5(A), ,,Transition,1989/07/18 05:00:00+00,,R-5(A),b498f089-f15d-4f45-a814-291dcb04f3c4,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,88003.31640625,1599.18154890252
110,R-10(A), ,,,,,R-10(A),315f5bb3-20ba-45ef-b542-0f7a2fb8de00,,,,2012/08/24 05:00:00+00,,60372.40234375,1387.90913702041
111,MC-1, ,,,,,MC-1,77800112-ed78-4a2e-8bdd-964479554165,,,,2012/08/24 05:00:00+00,,527409.896484375,3277.07286147296
112,PD,101,,Z223-331,2024/09/11 05:00:00+00,,PD-101,980d0e04-eb8a-48e0-b086-bb341c06673c,32851,"ORDS_15795, 23584, 25423, 32851_PD 101 Amendments and creating a new Subdistrict 1",241325,2024/09/11 05:00:00+00,,3047496.26074219,7137.53541585556
113,MU-2, ,,Transition,1989/07/18 05:00:00+00,,MU-2,7a47c7da-271f-4a59-a1ab-91024f57a412,19455,Zoning Transition to Chapter 51A_MU-2(-)/split for PD 1112 per ORD 32772,870470,2024/06/26 05:00:00+00,,1478889.52636719,6046.25103054439
114,TH-2(A), ,,,,,TH-2(A),ab81932f-83fe-41fa-b44d-00e157c16bc9,,,,2012/08/24 05:00:00+00,,75205.029296875,1131.75394138039
115,TH-1(A),,,Z145-310,2018/01/10 06:00:00+00,,TH-1(A),9907e998-baa1-49d2-bc15-db44eb80b9cf,30745,CR to TH-1(A) under Z145-310  (CC-1/10/2018) per ORD 30745,180113,2018/01/10 06:00:00+00,,53091.2646484375,1090.58621456377
116,R-7.5(A), ,,Transition,1989/07/18 05:00:00+00,,R-7.5(A),2032bd24-d744-420b-a278-aeedc21a6cd2,19455,Zoning Transition to Chapter 51A_R-7.5(A) reduced for new PD 1113 under ORD 32781,870470,2024/06/26 05:00:00+00,,8107794.79785156,14815.8289878503
117,MF-3(A), ,,Z801-114/3859-N,,,MF-3(A),c19f2f5d-9ce3-4973-bb06-54c5a64af9ff,,,,2012/08/24 05:00:00+00,,254480.666015625,2064.19697323091
118,R-5(A), ,,Transition,1989/07/18 05:00:00+00,,R-5(A),f91f18cb-9b40-47e4-9f55-349a676a1223,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,956946.701171875,4122.7864964982
119,PD,679,,Z034-133/12065,2004/03/24 06:00:00+00,DISD_Gooch Elementary School,PD-679,11dbc1af-c414-4ea7-95e2-a41964df1a92,25531,DISD_Tom C Gooch Elementary School,041018,2012/08/24 05:00:00+00,,484437.520507812,2873.90397302585
120,PD,367,,,,,PD-367,79b636c9-b24b-49fc-82e2-90c0d8068611,,,,2012/08/24 05:00:00+00,,145194.013105989,1654.50905700093
